"","BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ","DEVLET","BALIKESİR","UZAKTAN Ö.","1","1","2","0","0","0","0","0","0","0","0","0","1","1","2",""
"","BARTIN ÜNİVERSİTESİ","DEVLET","BARTIN","BİRİNCİ Ö.","1698","1292","2990","3572","3632","7204","625","451","1076","45","46","91","5940","5421","11361",""
"","BARTIN ÜNİVERSİTESİ","DEVLET","BARTIN","İKİNCİ Ö.","686","649","1335","2172","1338","3510","21","6","27","0","0","0","2879","1993","4872",""
"","BARTIN ÜNİVERSİTESİ","DEVLET","BARTIN","UZAKTAN Ö.","11","1","12","10","10","20","233","25","258","0","0","0","254","36","290",""
"","BAŞKENT ÜNİVERSİTESİ","VAKIF","ANKARA","BİRİNCİ Ö.","1146","1195","2341","5160","7154","12314","596","793","1389","240","221","461","7142","9363","16505",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","BAŞKENT ÜNİVERSİTESİ","VAKIF","ANKARA","İKİNCİ Ö.","61","37","98","0","0","0","0","0","0","0","0","0","61","37","98",""
"","BAŞKENT ÜNİVERSİTESİ","VAKIF","ANKARA","UZAKTAN Ö.","0","0","0","0","0","0","63","62","125","0","0","0","63","62","125",""
"","BATMAN ÜNİVERSİTESİ","DEVLET","BATMAN","BİRİNCİ Ö.","1954","1443","3397","3113","2005","5118","543","185","728","27","3","30","5637","3636","9273",""
"","BATMAN ÜNİVERSİTESİ","DEVLET","BATMAN","İKİNCİ Ö.","1286","863","2149","593","157","750","28","3","31","0","0","0","1907","1023","2930",""
"","BAYBURT ÜNİVERSİTESİ","DEVLET","BAYBURT","BİRİNCİ Ö.","1151","1144","2295","2302","2651","4953","305","187","492","18","4","22","3776","3986","7762",""
"","BAYBURT ÜNİVERSİTESİ","DEVLET","BAYBURT","İKİNCİ Ö.","464","521","985","1385","1037","2422","23","0","23","0","0","0","1872","1558","3430",""
"","BAYBURT ÜNİVERSİTESİ","DEVLET","BAYBURT","UZAKTAN Ö.","0","0","0","120","93","213","0","0","0","0","0","0","120","93","213",""
"","BEYKENT ÜNİVERSİTESİ","VAKIF","İSTANBUL","BİRİNCİ Ö.","2535","2953","5488","11179","7969","19148","1408","879","2287","153","83","236","15275","11884","27159",""
"","BEYKENT ÜNİVERSİTESİ","VAKIF","İSTANBUL","İKİNCİ Ö.","1745","1305","3050","0","0","0","0","0","0","0","0","0","1745","1305","3050",""
"","BEYKENT ÜNİVERSİTESİ","VAKIF","İSTANBUL","UZAKTAN Ö.","211","66","277","155","58","213","130","21","151","0","0","0","496","145","641",""
"","BEYKOZ ÜNİVERSİTESİ","VAKIF","İSTANBUL","BİRİNCİ Ö.","1129","738","1867","316","270","586","65","30","95","0","0","0","1510","1038","2548",""
"","BEYKOZ ÜNİVERSİTESİ","VAKIF","İSTANBUL","İKİNCİ Ö.","18","12","30","0","0","0","0","0","0","0","0","0","18","12","30",""
"","BEYKOZ ÜNİVERSİTESİ","VAKIF","İSTANBUL","UZAKTAN Ö.","132","35","167","0","0","0","0","0","0","0","0","0","132","35","167",""
"","BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ","VAKIF","İSTANBUL","BİRİNCİ Ö.","156","484","640","704","1846","2550","18","72","90","24","43","67","902","2445","3347",""
"","BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ","DEVLET","BİLECİK","BİRİNCİ Ö.","2429","1881","4310","3242","3113","6355","512","322","834","56","35","91","6239","5351","11590",""
"","BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ","DEVLET","BİLECİK","İKİNCİ Ö.","735","628","1363","1203","919","2122","64","22","86","0","0","0","2002","1569","3571",""
"","BİNGÖL ÜNİVERSİTESİ","DEVLET","BİNGÖL","BİRİNCİ Ö.","2282","1909","4191","3090","2787","5877","341","149","490","66","14","80","5779","4859","10638",""
"","BİNGÖL ÜNİVERSİTESİ","DEVLET","BİNGÖL","İKİNCİ Ö.","790","612","1402","1238","1204","2442","85","20","105","0","0","0","2113","1836","3949",""
"","BİNGÖL ÜNİVERSİTESİ","DEVLET","BİNGÖL","UZAKTAN Ö.","6","3","9","0","0","0","0","0","0","0","0","0","6","3","9",""
